number_of_cpus	wall_clock_time	processors_per_node	cores_per_processor	number_of_nodes	cpu_interconnects	processor	ram_per_cpu	ram_bus_speed	computer_system	operating_system	vendor	mpi_library	shared_or_dedicated	code_version	code_version_number	problem_name	precision	smp_mpp	location	submitted_by	submitted_by_org	date_submitted
32	214	2	8	2	IB QDR	Intel® Xeon® E5-2680 @2.70GHz Turbo Enabled	4	1600	bullx blade system (B510)	bullx supercomputer suite AE R2.2	BULL	Intel MPI 4.0.3.008	s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	France	Patrice Calegari	BULL	2012-07-04
128	217	64	2	1	NUMAlink	Intel Itanium 2 1600MHz Montecito	2	531	Altix 4700	SUSE Linux Enterprise Server 10, SGI ProPack 5SP1	SGI	sgi-mpt-1.15-sgi501r	s	LS-DYNA	ls971.7600.1224	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2007-09-21
48	218	2	6	4	QDR IB	Intel® Xeon® Six Core X5670	2	1333	Intel SR1600UR system	Redhat5U3	Intel		s	LS-DYNA	mpp971.s.R321	neon_refined_revised	s	m	Dupont, WA	Nick Meng	Intel/SSG	2010-03-28
64	223	2	1	32	QLogic InfiniPath IB	Intel Dualcore Xeon 5160 3.0 GHz	2	0	Cambridge Cluster	ClusterVisionOS	ClusterVision/Dell	QLogic MPI 2.0	s	LS-DYNA	971.7600.398	neon_refined_revised	s	m	Cambridge, UK	Kevin Ball	QLogic	2007-02-26
128	226	2	1	64	 RapidArray	AMD Dual Core Opteron 2.2 GHZ	2	0	CRAY XD1	SuSE Linux 9	CRAY Inc.	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-Ting Zhu	CRAY Inc.	2005-09-14
32	229	2	4	4	IP95 Blades with Mellanox ConnectX IB HCA DDR Fabric OFED v1.4	Intel® Xeon® Quad Core X5570 2.93GHz Turbo Boost E	6	1333	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 6SP2	SGI	SGI MPT 1.23	s	LS-DYNA	ls971.R3.2	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2009-03-31
64	230	2	4	8	Mellanox ConnectX IB HCA DDR Fabric OFED v1.3	Intel Xeon E5472 3.00GHz	2	1600	Altix ICE8200EX	SUSE Linux Enterprise Server 10, SGI ProPack 5SP4	SGI	SGI MPT 1.20	s	LS-DYNA	ls971.R3.1	neon_refined_revised	s	m	Mountain View, Ca	Olivier Schreiber	Applications Engineering	2008-04-08
128	230	2	2	32	Infiniband DDR	Intel Xeon 5160	2	667	LNXI LS-1	SLES 9.3	Linux Networx Inc., (LNXI)	ScaliMPI	s	LS-DYNA	Version ls971.7	neon_refined_revised	s	m	Bluffdale, Utah	Mike Long	LNXI	2007-12-18
36	233	2	6	3	Mellanox® Technologies ConnectX-2® IB QDR	 Intel® Xeon® Six Core X5680 3.33GHz	2	1333	Altix ICE 8400	SUSE® Linux® Enterprise Server 11, SGI® ProPack	SGI	SGI MPT 2.01	s	LS-DYNA	971_s_R3.2.1	neon_refined_revised	s	m	Chippewa Fall, WI	Olivier Schreiber	Applications Engineering	2010-11-10
128	239	2	2	32	RapidArray	AMD Dual Core Opteron 2.2 GHZ	2	0	CRAY XD1	SuSE Linux 9	CRAY Inc.	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-Ting Zhu	CRAY Inc.	2005-09-08
256	239	2	2	64	PathScale InfiniPath / Silverstorm InfiniBand switch	AMD Dual-Core Opteron Model 275 (2.2GHz)	4	400	Emerald	ROCKS 4.0.0 (RHEL4 U1)	Rackable Systems	PathScale MPICH	d	LS-DYNA	ls970.5434a	neon_refined	s	m	AMD Developer Center	Justin Boggs	AMD	2005-11-04
128	244	2	1	64	RapidArray	AMD Opteron 2.4 GHZ	4	0	CRAY XD1	SuSE Linux 9	CRAY Inc.	CRAY XD1 MPI	s	LS-DYNA	mpp970, 5434a	neon_refined	s	m	Chippewa Falls	Ting-Ting Zhu	CRAY Inc.	2005-05-12
